trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
314,False,"{'a': 0.5, 'e': 0.3134237637773555}",30,0,9.250635596789374,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.3096228130570242}",25,19,11.112809665770833,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.30581690837828934}",25,19,9.593966122422191,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.30200611063554444}",20,0,-23.661557687884564,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
318,False,"{'a': 0.5, 'e': 0.2981904808014722}",30,17,9.786624283040606,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.29437007992606856}",20,0,-34.5730554912912,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
320,False,"{'a': 0.5, 'e': 0.29054496913566596}",20,4,-8.815743907025151,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
321,False,"{'a': 0.5, 'e': 0.2867152096319555}",25,6,7.280250487549297,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
322,False,"{'a': 0.5, 'e': 0.2828808626910075}",20,0,16.83467254185358,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
323,False,"{'a': 0.5, 'e': 0.2790419896622912}",20,0,-15.229644780672233,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
324,False,"{'a': 0.5, 'e': 0.2751986519676933}",20,1,16.947799326809257,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.2713509111005347}",20,9,8.03205154678899,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.26749882862458735}",25,13,-30.882016295455013,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
327,False,"{'a': 0.5, 'e': 0.2636424661730887}",20,10,-32.48170916862274,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
328,False,"{'a': 0.5, 'e': 0.25978188544775555}",20,1,2.074402142581436,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
329,False,"{'a': 0.5, 'e': 0.2559171482177973}",25,0,-19.747394187981136,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
330,False,"{'a': 0.5, 'e': 0.25204831631892716}",20,0,27.72246245729074,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
331,False,"{'a': 0.5, 'e': 0.2481754516523729}",35,25,-13.08744625704359,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
332,False,"{'a': 0.5, 'e': 0.24429861618388662}",30,10,7.8814464334918855,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.2404178719427531}",25,3,-64.20367229805534,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 2}",1
334,False,"{'a': 0.5, 'e': 0.2365332810207974}",25,4,-14.389286553942387,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
335,False,"{'a': 0.5, 'e': 0.23264490557139142}",25,8,30.989862478151544,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.5, 'e': 0.22875280780845939}",20,12,1.6502440675118513,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
337,False,"{'a': 0.5, 'e': 0.22485705000548248}",20,11,11.154259708629535,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.5, 'e': 0.22095769449450242}",20,14,11.243245632185527,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.2170548036651242}",20,0,23.63167830425844,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
340,False,"{'a': 0.5, 'e': 0.21314843996351787}",25,18,3.497257492304104,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.5, 'e': 0.20923866589141926}",20,6,-2.1252833360072003,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
342,False,"{'a': 0.5, 'e': 0.20532554400513015}",25,0,-24.62735919407579,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
343,False,"{'a': 0.5, 'e': 0.20140913691451723}",25,12,9.103690358621016,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
344,False,"{'a': 0.5, 'e': 0.19748950728201042}",20,13,11.666617610343607,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.5, 'e': 0.1935667178216002}",30,16,18.96856617178093,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.5, 'e': 0.18964083129783424}",25,16,4.816376682628876,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
347,False,"{'a': 0.5, 'e': 0.1857119105248132}",25,0,27.438090680327743,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
348,False,"{'a': 0.5, 'e': 0.18178001836518562}",35,28,12.440737020188704,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.5, 'e': 0.17784521772914216}",25,0,-7.435669596491321,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
350,False,"{'a': 0.5, 'e': 0.17390757157340905}",25,16,4.946533356561187,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
351,False,"{'a': 0.5, 'e': 0.16996714290024081}",25,18,12.178651016398936,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.5, 'e': 0.1660239947564121}",20,0,-3.9618048818771747,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
353,False,"{'a': 0.5, 'e': 0.1620781902322094}",20,0,-25.540052357023242,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
354,False,"{'a': 0.5, 'e': 0.1581297924604204}",25,6,35.32445599658306,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.5, 'e': 0.15417886461532546}",25,2,-29.65386926612325,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 0}",1
356,False,"{'a': 0.5, 'e': 0.15022546991168584}",20,0,17.10926287735789,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
357,False,"{'a': 0.5, 'e': 0.14626967160373244}",20,13,6.9021580003455405,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.5, 'e': 0.1423115329841538}",20,16,8.678058280168091,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.5, 'e': 0.13835111738308337}",35,18,16.9211241228845,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
360,False,"{'a': 0.5, 'e': 0.13438848816708632}",35,12,20.04439416272108,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
361,False,"{'a': 0.5, 'e': 0.13042370873814554}",20,7,15.686541431148628,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.5, 'e': 0.12645684253264733}",20,0,-2.9977024139120214,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
363,False,"{'a': 0.5, 'e': 0.12248795302036633}",20,9,18.5909368834578,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.5, 'e': 0.11851710370345009}",30,12,27.53133846373167,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.5, 'e': 0.11454435811540296}",30,18,-19.62506412046451,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
366,False,"{'a': 0.5, 'e': 0.11056977982006959}",20,0,-29.34227699618044,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
367,False,"{'a': 0.5, 'e': 0.10659343241061792}",30,21,16.09034128353709,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.5, 'e': 0.10261537950852166}",20,6,9.293096143588558,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
369,False,"{'a': 0.5, 'e': 0.0986356847625424}",30,23,13.67446789450738,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.5, 'e': 0.09465441184771117}",30,3,29.78679588932068,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.5, 'e': 0.09067162446430968}",25,0,22.801271232931484,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
372,False,"{'a': 0.5, 'e': 0.08668738633685107}",25,13,-6.997615480989698,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
373,False,"{'a': 0.5, 'e': 0.0827017612130604}",20,16,8.364965299117078,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.5, 'e': 0.07871481286285463}",25,17,15.43165485758498,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.5, 'e': 0.0747266050773223}",20,0,0.4253719126987785,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
376,False,"{'a': 0.5, 'e': 0.0707372016677029}",30,0,39.89103287605594,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
377,False,"{'a': 0.5, 'e': 0.06674666646436589}",20,12,6.033827572664236,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.5, 'e': 0.06275506331578937}",20,13,9.932051121505296,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.5, 'e': 0.058762456087538564}",35,12,34.9166083488141,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.5, 'e': 0.05476890866124396}",20,14,-11.681310928054055,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
381,False,"{'a': 0.5, 'e': 0.05077448493357918}",20,15,8.997205953580226,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.5, 'e': 0.04677924881523865}",20,12,13.353437148162746,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,6,24.205966484992782,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,21,24.661075208696627,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,2,35.82279593779779,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,39.424495561724314,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,12,22.035858670943448,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,16,26.604460375410827,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,5,23.27185225175526,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,37.88934627475271,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,4,25.036536658184946,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,11,22.7640078498942,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
