trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
174,False,"{'a': 0.5, 'e': 0.7699713989898629}",20,0,-60.871908577021806,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
175,False,"{'a': 0.5, 'e': 0.7674129324324493}",20,2,-47.22815432460826,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.7648421872844884}",30,0,-97.07774145282112,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
177,False,"{'a': 0.5, 'e': 0.7622592046778476}",20,0,-56.66936414783689,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.7596640259401933}",25,0,-79.90738309282881,"{0: 18, 1: 5, 2: 0, 3: 0, 4: 2}",0
179,False,"{'a': 0.5, 'e': 0.7570566925943303}",25,0,-158.1980415655439,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
180,False,"{'a': 0.5, 'e': 0.7544372463575362}",20,8,5.674377916396391,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.7518057291408949}",20,0,-96.62996079126887,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.7491621830486261}",30,0,-87.33717279259294,"{0: 20, 1: 4, 2: 3, 3: 3, 4: 0}",0
183,False,"{'a': 0.5, 'e': 0.7465066503774105}",20,0,-66.12842636118583,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
184,False,"{'a': 0.5, 'e': 0.7438391736157144}",20,12,-62.679577534315506,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
185,False,"{'a': 0.5, 'e': 0.7411597954431091}",20,0,-104.54733929652667,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
186,False,"{'a': 0.5, 'e': 0.7384685587295879}",25,0,-134.34631296067715,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
